id,question,A,B,C,D,answer
1,অপবর্তন এক বিশেষ ধরনের— ,সমবর্তন,প্রতিফলন,ব্যাতিচার,প্রতিসরণ,C
2,50 kg ভরের কোনো বস্তুর ভরবেগ 200 kgms-1 হলে বস্তুর গতিশক্তি হবে-,200 J,300 J,400 J,500 J,C
3,একটি প্রিজমের প্রিজম কোণ 60০ ও নূন্যতম বিচ্যুতি 30০ হলে এর প্রতিসারঙ্ক কত?,2.26,3.21,1.41,5.25,C
4,4 kg ভরের একটি বস্তুকে 10ms-2 ত্বরণে গতিশীল করতে কত বল প্রয়োগ করতে হবে? (পথের ঘর্ষণ বল 2.5 Nkg-1),60N,70N,50N,80N,C
5,1 ইলেকট্রন ভোল্ট (1 eV) হলো—,1.6 × 10-9 J ,1.6 × 109 J,1.6 × 10-19 J,1.6 × 1019 J,C
6,"কোনো বস্তু 20m উচ্চতা থেকে বিনা বাঁধায় পড়লে, ভূমি হতে কত উচ্চতায় গতিশক্তি বিভবশক্তির তিনগুণ হবে?",5 m,10 m,15 m,20 m,A
7,তেজস্ক্রিয় মৌল থেকে একটি α কণা বের হলে ভরের পরিবর্তন কত?,4 একক বাড়ে,4 একক কমে,2 একক বাড়ে,2 একক কমে,B
8,20ms-1বেগে গতিশীল একটি বস্তুর বেগ 2ms-2 হারে হ্রাস পায় । থেমে যাওয়ার আগে বস্তুটি কত দূরত্ব অতিক্রম করবে?,100 m,150 m,120 m,135 m,A
9,একটি রকেট √32c বেগে পৃথিবী থেকে রওনা দিয়েছে৷ পৃথিবীতে থাকা একজন মানুষের সময় অনুযায়ী রকেটের একটা ঘড়ির সেকেন্ডের কাটাঁ কতক্ষণে পুরো একবার ঘুরে আসবে?,1/2 মিনিট,4 মিনিট,2 মিনিট,3/2 মিনিট,C
10,"তিনটি ভেক্টর ā, b̄ ও c̄, যাদের মান যথাক্রমে 4, 3 এবং 5 যােগ করলে শূন্য হয় অর্থাৎ ā + b̄ + c̄ = 0। তাহলে |c̄ × (ā x b̄)| এর মান হলাে-",12,60,25,15,B
11,1 atm সমান কত N/m² ?,1,~1.014 × 10⁵,1.013548 × 10-5,1013548,B
12,"240 Hz, 350 Hz, 450 Hz, 550 Hz, 650 Hz, 750 Hz ........এই ছয়টি সুরের সমন্বয়ে একটি সুরযুক্ত শব্দ উৎপন্ন হলে নিচের কোন কম্পাংকের সুরটি মুল সুরের অষ্টক?",400 Hz,550 Hz,450 Hz,500 Hz,D
13,√μ0ε0μ0ε0 এর মাত্রা কত ?,[LT-1],[L-1T],[LT-2],[L2T-1],B
14,কানে বেদনা তৈরী করে এমন শব্দের মাত্রা কোনটি?,90 dB,120 dB,110 dB,100 dB,B
15,p-n জাংশন সম্মুখ বেঁকে থাকলে এর রোধ কেমন হবে?,শূন্য,নিম্ন,উচ্চ,অসীম,B
16,বলের ঘাতের মাত্রা নিচের কোনটি?,MLT−1,MLT−2,ML2T−3,ML2T2,A
17,গতিশীল অবস্থায় থাকা ঘড়ি নিশ্চল ঘড়ির চেয়ে-,সময় কমে যায়,বন্ধ হয়ে যায়,দ্রুত চলে,ধীরে চলে,D
18,"যদি একটি সরল দোলকের বিস্তার দ্বিগুণ করা হয়, তাহলে সরল দোলকটির পর্যায়কাল-",দ্বিগুণ হবে,অর্ধেক হবে,চারগুণ হবে,অপরিবর্তিত হবে,D
19,নিচের কোনটি চুম্বক দ্বারা সামান্য বিকর্ষিত হয়? ,নিকেল,বিসমাথ,পিতল,কোবাল্ট,B
20,তাপগতিবিদ্যার ২য় সূত্রের মূল বক্তব্য হল-,তাপমাত্রা,অভ্যন্তরীণ কাজ,এনট্রপি,অভ্যন্তরীণ শক্তি,C
21,2mm2 প্রস্থচ্ছেদের একটি তারের সাথে 15kg ভর ঝুলে আছে। ভর ঝুলানো অবস্থায় তারটির দৈর্ঘ্য 4m। তারের উপাদানের ইয়াং এর গুণাঙ্ক 1.3x1010 Nm-1। ভর সরিয়ে নিলে তারটির দৈর্ঘ্য কি পরিমাণ সংকুচিত হবে?,0.0022m,0.0225m,0.225m,2.25m,B
22,"কোন নক্ষত্রের ভর ২ থেকে ৩ সৌর ভরের মধ্যে হলে, নক্ষত্রটির শেষ পরিণতি কি হবে?",শ্বেত বামন,কালো বামন,নিউট্রন তারকা,কৃষ্ণ গহ্বর,C
23,পরম শূন্য তাপমাত্রার মান কত?,0 K,−273 K,−373 °C,0 °C,A
24,একটি তরঙ্গের সমীকরণ y=15sin(10x-20t) দিয়ে নির্দেশিত হলে তরঙ্গের বেগ কত একক?,0.75,0.5,2,কোনোটিই নয়,C
25,A ও B গ্রহদ্বয়ের ভর যথাক্রমে M ও 2M এবং ব্যাসার্ধ যথাক্রমে R ও 2R হলে তাদের অভিকর্ষজ ত্বরণের অনুপাত gA:gaকত?,1:01,1:02,2:01,4:01,C
26,120° C তাপমাত্রায় পানি কত চাপে বাষ্পে পরিনত হয়?,0.7535 AtmP,1.7354 AtmP,0.7354 AtmP,1.07354 AtmP,A
27,উৎক্ষেপণ বেগ কত হলে কোনো বস্তু চাঁদের মতো উপগ্রহে পরিণত হবে?,>7.88 km/s,7.88km/s,<7.88 km/s,7.88-11.2 km/s,B
28,কোনটি যোগাযোগ ব্যবস্থায় বহুলভাবে ব্যবহৃত হয়?,X-ray satellite,SYNCOM satellite,Rontgent satellite,Polar satellite,B
29,ঘনকোণ এর এস আই (SI) একক কোনটি?,রেডিয়ান,স্টেরিডিয়ান,(রেডিয়ান )3,ডিগ্রী,B
30,নিচের কোন সম্পর্কটি স্টোকসের সূত্র?,F∝rπv,F∝ηrv,F∝ηλrv,F∝πηv,B
31,মহাকর্ষ বলের বাহক কোনটি ?,বোসন,গ্ৰাভিটন,মেসন,কোয়ান্টন,B
32,"পানির সাপেক্ষে গ্লিসারিনের প্রতিসরাংক 1.1, গ্লিসারিনের সাপেক্ষে হীরকের প্রতিসরাংক 1.65। পানির সাপেক্ষে হীরকের প্রতিসরাংক কত?",1.13,2.75,1.55,1.82,D
33,মহাবিশ্বের সৃষ্টি কত বিলিয়ন বছর পূর্বে?,14.7,13.7,16.7,18.7,B
34,একটি জলপ্রপাতে 70m উপর হতে পানি নিচে পতিত হয়। যদি পতনশীল পানির 65 % শক্তি তাপে রূপান্তরিত হয় তবে উপরের ও নিচের তাপমাএার পার্থক্য নির্ণয় কর,1.106oC,2.6oC,0.67oC,0.106oC,D
35,একটি গাড়ি চলতে থাকলে এর টায়ারের ভেতর একটি তাপগতীয় প্রক্রিয়া চলে। এই প্রক্রিয়াটি হলো-,সমোষ্ণ প্রক্রিয়া,রুদ্ধতাপীয় প্রক্রিয়া,সমআয়তন প্রক্রিয়া ,সমচাপ প্রক্রিয়া,C
36,কোন একটি তার কুন্ডলীর বিদ্যুৎ প্রবাহমাত্রা 2A কুন্ডলীর প্রবাহমাত্রা 0.08s এ শূন্যে নামিয়ে আনলে কুন্ডলীতে 0.5V বিদ্যুৎচালক বল আবিষ্ট হয়। কুন্ডলীর স্বকীয় আবেশ গুণাঙ্ক কত?,0.02 henry,0.2 henry,2 henry,20 henry,A
