id,question,A,B,C,D,topic,question_type
1,Diffraction is a special type of—,Polarization,Reflection,Interference,Refraction,Wave Optics,Theoretical
2,If the momentum of an object of mass 50 kg is 200 kgms-1; its kinetic energy will be-,200 J,300 J,400 J,500 J,Work and Energy,Mathematical
3,If the angle of a prism is 60° and the minimum deviation is 30°; what is its refractive index?,2.26,3.21,1.41,5.25,Ray Optics,Mathematical
4,How much force must be applied to move a 4 kg object with an acceleration of 10ms-2? (Frictional force of the path is 2.5 Nkg-1),60N,70N,50N,80N,Laws of Motion,Mathematical
5,1 electron volt (1 eV) is,1.6 × 10-9 J ,1.6 × 109 J,1.6 × 10-19 J,1.6 × 1019 J,Modern Physics,Definition
6,If an object falls freely from a height of 20m; at what height from the ground will its kinetic energy be three times its potential energy?,5 m,10 m,15 m,20 m,Work and Energy,Mathematical
7,When an α particle is emitted from a radioactive element; what is the change in mass?,Increases by 4 units,Decreases by 4 units,Increases by 2 units,Decreases by 2 units,Nuclear Physics,Theoretical
8,The velocity of an object moving at 20ms-1 decreases at a rate of 2ms-2. How much distance will the object cover before stopping?,100 m,150 m,120 m,135 m,Kinematics,Mathematical
9,A rocket has set off from Earth at a speed of √3/2c. According to a person on Earth; in how much time will the second hand of a clock on the rocket complete one full rotation?,1/2 minute,4 minutes,2 minutes,3/2 minutes,Relativity,Mathematical
10,Three vectors ā; b̄ and c̄; with magnitudes 4; 3 and 5 respectively; sum to zero i.e.; ā + b̄ + c̄ = 0. Then the value of |c̄ × (ā x b̄)| is-,12,60,25,15,Vectors,Mathematical
11,1 atm is equal to how many N/m²?,1,1.014 × 10?,1.013548 × 10-5,1013548,Units and Dimensions,Definition
12,If a musical sound is produced by combining these six tones: 240 Hz; 350 Hz; 450 Hz; 550 Hz; 650 Hz; 750 Hz ........; which of the following frequency tones is the octave of the fundamental tone?,400 Hz,550 Hz,450 Hz,500 Hz,Waves,Reasoning
13,What is the dimension of √μ0ε0μ0ε0,[LT-1],[L-1T],[LT-2],[L2T-1],Units and Dimensions,Theoretical
14,What is the sound level that causes pain in the ear?,90 dB,120 dB,110 dB,100 dB,Waves,Theoretical
15,What is the resistance of a forward-biased p-n junction?,Zero,Low,High,Infinite,Semiconductor Physics,Theoretical
16,Which of the following is the dimension of impulse?,MLT−1,MLT−2,ML2T−3,ML2T2,Units and Dimensions,Theoretical
17,A moving clock; compared to a stationary clock;-,time decreases,stops,runs faster,runs slower,Relativity,Theoretical
18,If the amplitude of a simple pendulum is doubled; then its period-,will be doubled,will be halved,will be quadrupled,will remain unchanged,Oscillations,Theoretical
19,Which of the following is slightly repelled by a magnet?,Nickel,Bismuth,Brass,Cobalt,Magnetism,Theoretical
20,The main concept of the 2nd law of thermodynamics is-,Temperature,Internal work,Entropy,Internal energy,Thermodynamics,Theoretical
21,A 15kg mass hangs from a wire with a 2mm^2 cross-section. With the mass hanging; the wire's length is 4m. The Young's modulus of the wire material is 1.3x1010 Nm-1. If the mass is removed; how much will the wire contract?,0.0022m,0.0225m,0.225m,2.25m,Properties of Matter,Mathematical
22,If a star's mass is between 2 to 3 solar masses; what will be its final fate?,White dwarf,Black dwarf,Neutron star,Black hole,Astronomy,Theoretical
23,What is the value of absolute zero temperature?,0 K,273 K,373 °C,0 °C,Thermodynamics,Definition
24,If a wave is represented by the equation y=15sin(10x-20t); what is the velocity of the wave in units?,0.75,0.5,2,None of these,Waves,Mathematical
25,If the masses of planets A and B are M and 2M and their radii are R and 2R respectively; what is the ratio of their gravitational accelerations gA:gB?,1:01,1:02,2:01,4:01,Gravitation,Mathematical
26,At 120° C temperature; at what pressure does water turn into vapor?,0.7535 AtmP,1.7354 AtmP,0.7354 AtmP,1.07354 AtmP,Thermodynamics,Theoretical
27,What should be the launch velocity for an object to become a satellite like the Moon?,>7.88 km/s,7.88km/s,<7.88 km/s,7.88-11.2 km/s,Gravitation,Theoretical
28,Which is widely used in communication systems?,X-ray satellite,SYNCOM satellite,Rontgent satellite,Polar satellite,Communication Systems,Application
29,What is the SI unit of solid angle?,Radian,Steradian,(Radian)3,Degree,Units and Dimensions,Definition
30,Which of the following relationships is Stokes' law?,Frv,Frv,Frv,Fv,Fluid Mechanics,Definition
31,What is the carrier particle of gravitational force?,Boson,Graviton,Meson,Quanton,Modern Physics,Theoretical
32,The refractive index of glycerin with respect to water is 1.1; the refractive index of diamond with respect to glycerin is 1.65. What is the refractive index of diamond with respect to water?,1.13,2.75,1.55,1.82,Ray Optics,Mathematical
33,How many billion years ago was the universe created?,14.7,13.7,16.7,18.7,Astronomy,Theoretical
34,In a waterfall; water falls from a height of 70m. If 65% of the potential energy of the falling water is converted to heat; determine the temperature difference between the top and the bottom.,1.106oC,2.6oC,0.67oC,0.106oC,Thermodynamics,Mathematical
35,When a car is moving; a thermodynamic process occurs inside its tires. This process is-,Isothermal process,Adiabatic process,Isovolumetric process,Isobaric process,Thermodynamics,Application
36,The current in a coil is 2A. If the current is reduced to zero in 0.08s; an EMF of 0.5V is induced in the coil. What is the self-inductance of the coil?,0.02 henry,0.2 henry,2 henry,20 henry,Electromagnetic Induction,Mathematical
37,When a Zener diode is used in a circuit; it is always connected -,in forward bias,in parallel,in series,in reverse bias,Semiconductor Physics,Application
38,A constant force acts on a particle; and its displacement and time are related by the equation `t= sqrtx +5`. After how many seconds will the particle's velocity be zero?,5s,2s,3s,4s,Kinematics,Mathematical
39,Electron-volt is the unit of what-,Work,Charge,Current,Potential difference,Units and Dimensions,Definition
40,A 5A current flows through a 1m long wire placed at an angle of 30° to a 0.1Wbm-2 magnetic field. Then; what is the experienced force?,2.5 N,25 N,0.025 N,0.25 N,Magnetism,Mathematical
41,According to Newton's third law of motion; what is the angle between action and reaction?,00C,900 C,1800C,3600C,Laws of Motion,Theoretical
42,Which one of the following gates can be used repeatedly to make any digital circuit?,AND,OR,XOR,NAND,Semiconductor Physics,Theoretical
43,What is the average density of the Earth?,3.3×103kgm-3,5.5×103kgm-3,7.7×103kgm-3,1.3×103kgm-3,Gravitation,Theoretical
44,When a semiconductor diode is connected in forward bias; the width of the depletion layer -,increases,disappears,remains unchanged,decreases,Semiconductor Physics,Theoretical
45,If the entire mass of an alpha particle is converted into energy; how much energy will be produced?,3.7 GeV,3.7 MeV,3.7 eV,7.8 eV,Nuclear Physics,Mathematical
46,If the radius of a nucleus with mass number 16 is 3 x 10-12m; the radius of a nucleus with mass number 128 will be-,6 x 10-12m,12x 10-12m,18x 10-12m,24 x 10-12m,Nuclear Physics,Mathematical
47,At what angle between force and displacement will the work done be zero?,60°,90°,180°,0°,Work and Energy,Theoretical
48,A medium in which every atom becomes an electric dipole under the influence of an external electric field is called a-,Dielectric,Semiconductor,Conductor,Insulator,Electrostatics,Definition
